 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2,Area3,Mean3,Min3,Max3,Area4,Mean4,Min4,Max4,Area5,Mean5,Min5,Max5
16858,33152,17.231660843,12,29,5056,22.177215576,15,33,9856,23.402597427,13,82,16384,24.781250000,14,71,41664,27.251920700,13,57
16859,33152,17.119691849,11,30,5056,21.962024689,15,35,9856,23.220779419,13,75,16384,24.699218750,14,67,41664,27.159753799,14,61
16860,33152,17.028957367,11,27,5056,22.329113007,14,40,9856,23.194805145,13,72,16384,24.582031250,13,73,41664,27.271888733,14,56
16861,33152,17.025096893,11,29,5056,22.379747391,13,36,9856,23.162338257,14,78,16384,24.730468750,13,69,41664,27.317972183,15,54
16862,33152,17.100385666,11,33,5056,22.291139603,15,36,9856,23.337661743,13,86,16384,24.800781250,13,71,41664,27.224269867,13,53
16863,33152,16.967182159,12,27,5056,22.481012344,14,33,9856,23.220779419,14,74,16384,24.660156250,13,69,41664,27.018432617,14,55
16864,33152,16.951738358,11,29,5056,22.202531815,14,35,9856,23.311687469,13,85,16384,24.875000000,14,73,41664,27.205837250,14,54
16865,33152,17.146718979,11,27,5056,22.316455841,14,41,9856,23.058441162,14,77,16384,24.675781250,14,70,41664,27.215053558,14,56
16866,33152,17.090734482,12,31,5056,22.797468185,15,33,9856,22.837661743,14,80,16384,24.550781250,14,70,41664,26.987710953,13,50
16867,33152,17.127412796,12,31,5056,22.151899338,15,33,9856,22.577922821,14,75,16384,24.542968750,13,65,41664,27.192012787,14,53
16868,33152,17.069498062,11,28,5056,22.607595444,15,35,9856,22.649351120,13,75,16384,24.714843750,13,68,41664,27.239631653,14,52
