 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2,Area3,Mean3,Min3,Max3
367,32,104.094,71,145,225,135.476,53,303,208,113.837,60,223
368,32,106.062,73,159,225,135.831,60,301,208,114.038,55,222
369,32,107.938,74,166,225,134.756,57,307,208,114.808,63,227
370,32,107.719,69,163,225,134.311,58,301,208,113.264,59,222
371,32,107.219,79,151,225,133.769,50,297,208,114.341,59,225
372,32,108.625,71,164,225,132.453,52,330,208,114.644,60,208
373,32,108.125,79,165,225,132.898,60,315,208,115.481,58,223
374,32,106.344,75,141,225,135.627,51,318,208,115.784,55,238
375,32,110.938,80,164,225,136.382,52,298,208,121.514,63,248
376,32,109.188,81,161,225,137.867,59,336,208,123.212,57,229
377,32,107.438,71,161,225,136.996,56,311,208,121.885,62,244
378,32,108.281,75,154,225,136.484,57,310,208,119.798,61,245
379,32,106.719,77,154,225,136.929,56,311,208,118.269,56,218
380,32,109.125,79,145,225,135.560,63,307,208,117.413,49,220
381,32,107.031,71,167,225,135.244,58,313,208,118.221,57,235
382,32,105.656,63,158,225,133.587,54,280,208,117.327,57,221
383,32,108.906,66,155,225,132.951,58,307,208,115.519,61,243
384,32,106.625,65,159,225,133.702,57,297,208,113.909,59,221
385,32,106.438,69,137,225,133.427,55,281,208,114.726,55,230
386,32,104.688,80,152,225,132.556,55,315,208,114.635,60,213
387,32,108.156,79,153,225,133.653,61,293,208,114.808,59,214
388,32,106.062,72,155,225,132.849,55,278,208,114.096,60,226
389,32,104.062,72,148,225,132.840,58,313,208,115.130,56,242
390,32,106.562,72,145,225,133.142,61,272,208,113.861,60,217
391,32,104.344,76,148,225,132.907,63,290,208,113.615,58,233
392,32,105.156,76,150,225,132.813,51,295,208,113.957,57,232
393,32,102.625,60,156,225,132.831,53,303,208,114.755,54,236
394,32,102.500,73,150,225,132.569,60,299,208,113.913,57,208
395,32,107.562,75,186,225,132.182,57,285,208,114.620,58,238
