 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2,Area3,Mean3,Min3,Max3,Area4,Mean4,Min4,Max4
176,1370,55.542,-17,347,32688,57.35,-57,505,9856,69.275,-47,436,9856,0.69275,-47,436
177,1370,52.609,-39,326,32688,57.589,-40,446,9856,69.406,-61,414,9856,0.69406,-61,414
178,1370,54.763,-43,320,32688,57.69,-42,515,9856,68.958,-60,530,9856,0.68958,-60,530
179,1370,54.324,-34,291,32688,57.96,-45,492,9856,68.156,-55,544,9856,0.68156,-55,544
180,1370,55.007,-20,285,32688,57.791,-42,547,9856,67.881,-51,434,9856,0.67881,-51,434
181,1370,54.004,-32,339,32688,58.029,-56,621,9856,68.893,-45,397,9856,0.68893,-45,397
182,1370,53.465,-21,313,32688,57.848,-40,512,9856,69.32,-60,461,9856,0.6932,-60,461
183,1370,53.542,-23,301,32688,57.901,-47,776,9856,68.855,-45,492,9856,0.68855,-45,492
184,1370,55.786,-41,299,32688,57.57,-49,458,9856,69.105,-52,659,9856,0.69105,-52,659
185,1370,55.564,-29,336,32688,57.688,-60,489,9856,69.148,-65,401,9856,0.69148,-65,401
186,1370,54.092,-15,310,32688,57.303,-49,474,9856,68.192,-49,457,9856,0.68192,-49,457
187,1370,56.647,-18,267,32688,57.754,-48,695,9856,69.05,-50,467,9856,0.6905,-50,467
188,1370,55.497,-34,391,32688,57.289,-51,520,9856,68.978,-46,483,9856,0.68978,-46,483
189,1370,52.656,-19,322,32688,57.839,-48,550,9856,68.546,-49,453,9856,0.68546,-49,453
190,1370,53.3,-37,326,32688,57.814,-63,463,9856,69.728,-44,464,9856,0.69728,-44,464
191,1370,52.339,-16,297,32688,57.407,-53,450,9856,69.191,-60,449,9856,0.69191,-60,449
192,1370,52.277,-40,458,32688,57.688,-51,515,9856,69.838,-45,460,9856,0.69838,-45,460
193,1370,53.58,-35,342,32688,57.162,-55,413,9856,68.21,-63,483,9856,0.6821,-63,483
194,1370,54.732,-47,385,32688,57.121,-62,471,9856,67.988,-49,445,9856,0.67988,-49,445
195,1370,53.125,-32,386,32688,57.528,-53,572,9856,67.403,-45,431,9856,0.67403,-45,431
196,1370,51.941,-15,348,32688,57.55,-48,510,9856,69.951,-46,439,9856,0.69951,-46,439
197,1370,50.893,-22,281,32688,57.931,-50,489,9856,69.129,-58,452,9856,0.69129,-58,452
198,1370,55.112,-26,426,32688,57.57,-40,376,9856,69.003,-73,453,9856,0.69003,-73,453
199,1370,52.888,-18,401,32688,58.3,-69,614,9856,69.391,-54,482,9856,0.69391,-54,482
200,1370,49.599,-22,285,32688,58.484,-50,387,9856,69.661,-56,539,9856,0.69661,-56,539
201,1370,56.062,-25,322,32688,57.507,-57,601,9856,68.954,-49,463,9856,0.68954,-49,463
202,1370,54.702,-22,391,32688,57.607,-52,629,9856,69.72,-58,469,9856,0.6972,-58,469
203,1370,53.066,-23,389,32688,57.814,-47,589,9856,68.1,-50,444,9856,0.681,-50,444
204,1370,54.973,-20,297,32688,58.223,-42,440,9856,70.088,-42,459,9856,0.70088,-42,459
205,1370,52.768,-6,289,32688,57.739,-48,494,9856,68.917,-44,470,9856,0.68917,-44,470
206,1370,53.453,-37,328,32688,58.046,-51,536,9856,70.115,-51,442,9856,0.70115,-51,442
207,1370,52.254,-18,300,32688,57.652,-50,433,9856,69.399,-52,519,9856,0.69399,-52,519
208,1370,57.234,-23,324,32688,57.189,-82,584,9856,68.672,-40,456,9856,0.68672,-40,456
209,1370,54.126,-20,324,32688,57.84,-56,535,9856,69.388,-51,401,9856,0.69388,-51,401
210,1370,64.136,-31,421,32688,72.881,-80,681,9856,72.499,-51,522,9856,0.72499,-51,522
